,good address,compare address,label
0,14361 cupcake terrace,14361 cupofcake terrace,1
1,13823 principle terrace,2689 principal highway,0
2,908 toolbox street,1209 main highway,0
3,6785 wheel avenue,1809 main way,0
4,3944 electric screwdriver road,3944 elecc screwdriver,1
5,1791 burdens square,3228 burden place,0
6,10569 tablet highway,10569 tmablevt highway,1
7,5840 bread highway,3370 bread highway,0
8,753 broom street,753 blnroom street,1
9,12423 owl road,8294 main square,0
10,13345 door parkway,13345 dor parkway,1
11,6494 bug parkway,6494 bg parkway,1
12,1635 arm road,7683 main place,0
13,9329 anchor place,9329 aynchzor place,1
14,9910 flower place,9910 flwe place,1
15,10393 chalk boulevard,10393 cfhtalk boulevard,1
16,1519 boat center,10261 main lane,0
17,14682 rock road,12156 main center,0
18,13454 arrow center,13454 aro center,1
19,9825 belief place,13172 belief place,0
20,11339 ball terrace,11339 balpl terrace,1
21,10975 hammer center,10975 haymmewr center,1
22,9982 phone place,9982 phondee place,1
23,9231 toilet paper center,9562 main square,0
24,4103 joy highway,4103 joby highway,1
25,12736 aircraft terrace,7424 main way,0
26,14857 cheese street,14857 chse street,1
27,11117 paper lane,2005 papyrus street,0
28,9784 bald place,5625 bald square,0
29,5840 toothbrush terrace,5840 toszothbruosh terrace,1
30,7929 angry lane,2752 main boulevard,0
31,227 pen highway,227 pe highway,1
32,5236 electric car road,6214 el avenue,0
33,163 crab road,7620 crab way,0
34,4783 banana road,6794 main parkway,0
35,6538 spotted owl road,972 main center,0
36,10140 grass square,10140 gwrazss square,1
37,13803 router highway,432 main way,0
38,9117 snail center,8543 main avenue,0
39,6148 chicken road,13429 main highway,0
40,5918 chair way,5918 cha way,1
41,7393 bicycle place,3119 main boulevard,0
42,2650 couch way,2650 colcuch way,1
43,3586 concept road,3586 cncet road,1
44,12348 burdock square,3245 Burdock highway,0
45,10344 bat center,7715 batt avenue,0
46,2947 bus square,2947 buqs square,1
47,13953 emotion road,13953 emogtjion road,1
48,9069 ambulance street,5050 main way,0
49,9688 chimpanzee avenue,10595 chimp lane,0
50,2827 crocodile terrace,2827 cgrocosdilje terrace,1
51,12878 barge parkway,7751 barge boulevard,0
52,10420 data street,5964 main boulevard,0
53,4820 mind parkway,4820 min parkway,1
54,10014 straw road,10014 satrcaw road,1
55,11339 furniture road,12559 main center,0
56,8989 watch way,3048 main way,0
57,14643 sea place,14643 seoa place,1
58,9847 cookie place,12262 main way,0
59,13794 motorcycle terrace,13794 motocle terrace,1
60,7144 mountain highway,7144 mouzntyayin highway,1
